"rg",al,al,al,al,o,o,o,c,c,c,p,o,o,o,a,phnw,c,c,o,o,o,phnw,c,c,p,o,o,o,c,c,c,o,o,a,o,c,c,c,p,o,o,o,al,al,al,al,o,o,o,c,c,c,o,o,a,o,c,c,c,p,o,o,o,c,c,c,o,o,s,o
"gm",c,p,o,perl,o,o,a,c,p,o,c,a,o,o,phnw,p,o,c,o,o,a,c,p,o,c,c,o,o,al,al,al,al,o,o,o,c,p,o,c,o,o,s,c,p,o,c,a,o,o,c,p,o,c,a,o,o,c,p,o,c,a,o,o,c,p,o,c,o,o,a
"db",a,a,o,i,p,o,o,a,p,o,a,a,o,o,phnw,p,o,o,a,o,o,a,p,o,i,o,i,s,a,p,o,s,o,p,p,o,p,o,s,a,o,o,a,p,o,a,a,o,o,s,p,o,a,a,o,o,a,p,o,a,a,o,o,a,a,o,i,p,o,o
"cc",p,o,s,o,a,p,p,o,a,a,i,p,o,o,phnw,i,o,i,p,o,o,p,o,a,a,a,o,o,p,o,i,a,s,o,o,p,o,a,a,s,o,o,p,o,a,a,o,s,s,p,o,a,a,o,o,o,al,al,al,al,o,o,o,p,o,a,a,a,o,o
"mc",o,o,p,c,i,s,o,o,o,p,c,i,i,o,a,phnw,p,c,s,o,o,o,o,p,c,i,p,o,a,a,p,c,o,o,o,al,al,al,al,o,o,o,o,a,a,c,p,o,o,o,a,o,c,p,o,a,o,a,p,c,a,o,o,o,a,p,c,a,o,o
"sd",o,c,i,o,p,o,i,c,s,o,p,o,p,o,s,phnw,o,al,o,o,o,p,c,al,al,o,o,i,c,c,c,p,o,o,o,c,c,c,o,p,o,o,c,c,c,p,o,o,o,c,c,c,p,o,o,o,a,c,i,p,o,o,o,a,c,a,p,o,o,o
"ml",o,o,al,a,o,o,p,o,o,al,a,o,o,p,o,o,al,s,o,o,p,o,o,al,a,o,o,p,o,o,s,a,o,o,p,o,o,a,a,o,o,p,o,o,a,a,o,o,a,o,o,a,s,o,o,s,o,o,al,a,o,o,p,o,o,a,a,o,o,s
"hl",a,i,c,p,o,o,o,al,al,al,al,o,o,o,al,al,al,p,o,i,s,o,o,c,p,o,o,o,s,i,c,p,o,o,o,sab,sab,sab,sab,o,o,o,sab,sab,sab,sab,o,o,o,sab,sab,sab,sab,o,o,o,sab,sab,sab,sab,o,o,o,sab,sab,sab,sab,o,o,o
"dl",c,p,c,o,c,o,o,c,p,c,o,c,o,o,phnw,p,c,c,o,o,o,al,al,al,al,o,o,o,o,o,c,i,p,o,a,a,a,c,o,p,o,o,al,al,al,al,o,o,o,o,p,c,o,i,s,o,s,p,c,o,o,a,i,o,p,c,o,i,o,o
"rm",s,p,c,o,o,o,o,al,al,al,al,o,o,o,o,o,c,a,p,o,o,s,p,c,o,s,o,o,o,a,c,o,p,o,o,o,p,c,i,o,a,i,a,p,c,s,o,o,o,al,al,al,al,o,o,o,al,al,al,al,o,o,o,o,p,c,o,o,i,i
"gn",p,o,p,c,o,p,o,p,o,p,c,o,p,o,p,o,p,c,o,p,o,p,o,p,c,o,p,o,p,o,p,c,o,p,o,p,o,p,c,o,p,o,p,o,p,c,o,p,o,p,o,p,c,o,p,o,p,o,p,c,o,p,o,p,o,p,c,o,p,o
"ew",lsl,lsl,lsl,lsl,o,o,o,lsl,lsl,lsl,lsl,o,o,o,lsl,lsl,lsl,lsl,o,o,o,lsl,lsl,lsl,lsl,o,o,o,p,o,o,c,i,i,i,a,o,o,c,p,o,o,p,o,a,c,s,o,o,o,s,i,c,p,o,o,o,o,a,c,p,o,o,p,o,s,c,o,p,p
"lb",al,o,al,o,al,o,o,al,o,al,o,al,o,o,al,o,al,o,al,o,o,lsl,o,lsl,o,lsl,o,o,lsl,o,lsl,o,lsl,o,o,lsl,o,lsl,o,lsl,o,o,lsl,o,lsl,o,lsl,o,o,lsl,o,lsl,o,lsl,o,o,p,o,s,o,i,i,s,o,o,i,o,p,o,o
"dh",p,o,c,o,s,o,o,a,o,c,o,p,o,o,p,o,c,o,i,o,o,i,o,c,o,p,o,o,al,al,al,o,o,o,o,p,o,c,o,i,o,o,s,o,c,o,p,o,o,p,o,c,o,a,p,p,o,o,c,o,a,o,o,a,o,c,o,s,p,p
"sk",mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o,mat,mat,mat,o,o,o,o
"bl",a,a,a,p,o,o,o,p,o,i,a,s,o,o,phnw,a,i,o,o,p,o,o,s,i,a,p,o,o,al,al,al,al,o,o,o,al,al,al,al,o,o,o,al,al,al,al,o,o,o,o,o,o,c,s,p,p,o,s,a,a,p,o,o,o,a,a,s,p,o,o
"rp",o,s,o,p,o,o,p,o,i,o,p,c,o,p,o,phnw,o,al,o,o,p,o,o,o,o,c,p,o,o,o,o,o,o,p,o,o,i,o,p,c,o,p,o,s,o,p,o,o,p,o,o,o,p,c,o,p,o,i,o,p,o,o,p,o,s,o,p,c,o,p
"ar",o,o,a,a,o,o,o,o,o,s,a,o,o,o,o,o,s,al,o,o,o,o,o,s,a,o,o,o,o,o,a,a,o,o,o,o,o,s,o,o,s,o,o,o,s,i,o,o,o,o,o,s,i,o,o,o,o,o,a,a,o,o,o,o,o,a,o,o,a,o
"ls",i,o,o,o,a,i,s,o,o,p,o,o,o,o,p,o,al,o,al,p,o,o,o,p,o,o,o,o,a,o,o,o,a,s,s,o,o,p,o,o,o,o,i,o,p,o,p,p,o,o,o,p,o,o,o,o,a,o,o,o,s,s,a,o,o,p,o,o,o,o
"av",al,al,al,o,o,o,o,s,c,c,o,p,o,i,o,s,c,c,p,o,o,o,i,c,p,c,o,o,c,s,c,p,o,o,o,a,c,c,p,o,o,o,o,o,c,p,c,i,i,o,c,c,p,o,o,o,o,c,c,s,p,o,o,s,c,c,p,o,o,o
"lc",o,p,o,s,o,o,o,o,p,o,s,o,o,o,o,p,o,p,o,s,a,o,p,o,s,o,o,p,o,p,o,al,o,o,o,o,s,o,al,o,o,o,o,o,o,o,i,o,p,o,i,o,p,o,o,o,o,p,o,i,o,p,p,o,i,o,p,o,o,o
"km",p,o,o,o,o,o,o,i,o,o,o,o,o,o,i,o,o,o,o,o,i,o,o,o,o,o,o,o,i,o,o,o,o,o,o,i,o,o,o,o,o,o,p,o,o,o,o,o,p,o,o,o,o,o,o,o,p,o,o,o,o,o,o,a,o,o,o,o,o,o
"bb",o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o
"jd",o,o,o,o,o,o,o,o,o,a,o,o,o,o,o,o,o,o,o,o,o,o,o,a,o,o,o,o,o,o,o,o,o,o,o,o,o,a,o,o,o,o,o,o,o,o,o,o,o,o,o,a,o,o,o,o,o,o,o,o,o,o,o,o,o,cl,o,o,o,o
"ck",p,o,p,o,o,o,o,p,o,a,o,o,s,s,p,o,p,o,o,o,p,p,o,a,o,o,o,o,p,p,o,o,o,o,p,p,o,i,o,o,i,o,p,o,i,o,o,o,o,a,o,p,o,o,i,i,p,p,o,o,o,p,o,al,o,al,o,o,o,o
"tb",o,o,a,o,p,o,o,a,o,p,o,o,o,o,a,o,o,p,o,o,o,o,a,p,o,o,s,a,a,o,p,o,o,o,o,s,o,p,o,o,p,p,o,i,p,o,o,o,o,i,o,o,o,p,o,o,i,o,p,o,o,o,o,i,o,p,o,o,o,o
"rg",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"gm",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"db",o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o
"cc",o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o
"mc",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o
"sd",o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o
"ml",o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o
"hl",o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"dl",o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o
"rm",o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o
"gn",o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o
"ew",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc
"lb",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o
"dh",o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o
"sk",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"bl",o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o
"rp",o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"ar",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"ls",o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"av",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o
"lc",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"km",oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"bb",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"jd",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"ck",o,o,oc,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o
"tb",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o